company,contact,segment,pain_hypothesis,channel,motion,offer_id,status,next_action,next_action_date,priority,notes
هدف استراتيجي 146,مدير حسابات 146,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 146
هدف استراتيجي 147,مدير حسابات 147,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 147
هدف استراتيجي 148,مدير حسابات 148,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 148
هدف استراتيجي 149,مدير حسابات 149,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 149
هدف استراتيجي 150,مدير حسابات 150,fintech,leads مالية بلا تسليم Proof,inbound,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 150
هدف استراتيجي 151,مدير حسابات 151,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 151
هدف استراتيجي 152,مدير حسابات 152,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 152
هدف استراتيجي 153,مدير حسابات 153,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 153
هدف استراتيجي 154,مدير حسابات 154,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 154
هدف استراتيجي 155,مدير حسابات 155,media_buying,تقارير media بلا post-lead ops,phone_task,A,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 155
هدف استراتيجي 156,مدير حسابات 156,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 156
هدف استراتيجي 157,مدير حسابات 157,government_vendor,مناقصات بلا owner متابعة,partner_intro,D,executive_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 157
هدف استراتيجي 158,مدير حسابات 158,insurance,وثائق leads بلا إغلاق,email_warm,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 158
هدف استراتيجي 159,مدير حسابات 159,telecom_b2b,حسابات enterprise بلا proof,linkedin_manual,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 159
هدف استراتيجي 160,مدير حسابات 160,construction,عروض مشاريع بلا متابعة,inbound,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 160
هدف استراتيجي 161,مدير حسابات 161,automotive_dealer,استفسارات showrooms,inbound,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 161
هدف استراتيجي 162,مدير حسابات 162,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 162
هدف استراتيجي 163,مدير حسابات 163,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 163
هدف استراتيجي 164,مدير حسابات 164,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 164
هدف استراتيجي 165,مدير حسابات 165,saas,توسع AI بدون حوكمة,phone_task,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 165
هدف استراتيجي 166,مدير حسابات 166,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 166
هدف استراتيجي 167,مدير حسابات 167,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 167
هدف استراتيجي 168,مدير حسابات 168,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 168
هدف استراتيجي 169,مدير حسابات 169,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 169
هدف استراتيجي 170,مدير حسابات 170,agency_partner,co-sell عميل واحد,inbound,A,partner_sprint,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 170
هدف استراتيجي 171,مدير حسابات 171,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 171
هدف استراتيجي 172,مدير حسابات 172,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 172
هدف استراتيجي 173,مدير حسابات 173,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 173
هدف استراتيجي 174,مدير حسابات 174,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 174
هدف استراتيجي 175,مدير حسابات 175,retail,حملات موسمية بلا إغلاق,phone_task,A,agency_proof_pack,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 175
هدف استراتيجي 176,مدير حسابات 176,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 176
هدف استراتيجي 177,مدير حسابات 177,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 177
هدف استراتيجي 178,مدير حسابات 178,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 178
هدف استراتيجي 179,مدير حسابات 179,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 179
هدف استراتيجي 180,مدير حسابات 180,government_vendor,مناقصات بلا owner متابعة,inbound,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 180
هدف استراتيجي 181,مدير حسابات 181,insurance,وثائق leads بلا إغلاق,email_warm,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 181
هدف استراتيجي 182,مدير حسابات 182,telecom_b2b,حسابات enterprise بلا proof,linkedin_manual,D,executive_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 182
هدف استراتيجي 183,مدير حسابات 183,construction,عروض مشاريع بلا متابعة,phone_task,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 183
هدف استراتيجي 184,مدير حسابات 184,automotive_dealer,استفسارات showrooms,inbound,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 184
هدف استراتيجي 185,مدير حسابات 185,agency_wedge,العميل يسأل عن ROI بعد الحملة,phone_task,A,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 185
هدف استراتيجي 186,مدير حسابات 186,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 186
هدف استراتيجي 187,مدير حسابات 187,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 187
هدف استراتيجي 188,مدير حسابات 188,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 188
هدف استراتيجي 189,مدير حسابات 189,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 189
هدف استراتيجي 190,مدير حسابات 190,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,inbound,A,agency_proof_pack,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 190
هدف استراتيجي 191,مدير حسابات 191,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 191
هدف استراتيجي 192,مدير حسابات 192,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 192
هدف استراتيجي 193,مدير حسابات 193,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 193
هدف استراتيجي 194,مدير حسابات 194,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 194
هدف استراتيجي 195,مدير حسابات 195,executive_governance,مخاطر توسع AI,phone_task,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 195
هدف استراتيجي 196,مدير حسابات 196,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 196
هدف استراتيجي 197,مدير حسابات 197,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 197
هدف استراتيجي 198,مدير حسابات 198,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 198
هدف استراتيجي 199,مدير حسابات 199,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 199
هدف استراتيجي 200,مدير حسابات 200,logistics,عروض B2B بلا evidence,inbound,C,diagnostic_layer,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 200
هدف استراتيجي 201,مدير حسابات 201,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 201
هدف استراتيجي 202,مدير حسابات 202,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 202
هدف استراتيجي 203,مدير حسابات 203,government_vendor,مناقصات بلا owner متابعة,partner_intro,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 203
هدف استراتيجي 204,مدير حسابات 204,insurance,وثائق leads بلا إغلاق,email_warm,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 204
هدف استراتيجي 205,مدير حسابات 205,telecom_b2b,حسابات enterprise بلا proof,phone_task,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 205
هدف استراتيجي 206,مدير حسابات 206,construction,عروض مشاريع بلا متابعة,phone_task,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 206
هدف استراتيجي 207,مدير حسابات 207,automotive_dealer,استفسارات showrooms,inbound,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 207
هدف استراتيجي 208,مدير حسابات 208,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 208
هدف استراتيجي 209,مدير حسابات 209,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 209
هدف استراتيجي 210,مدير حسابات 210,direct_b2b,متابعة أولى بطيئة,inbound,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 210
هدف استراتيجي 211,مدير حسابات 211,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 211
هدف استراتيجي 212,مدير حسابات 212,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 212
هدف استراتيجي 213,مدير حسابات 213,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 213
هدف استراتيجي 214,مدير حسابات 214,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 214
هدف استراتيجي 215,مدير حسابات 215,real_estate_developer,جودة leads inbound,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 215
هدف استراتيجي 216,مدير حسابات 216,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 216
هدف استراتيجي 217,مدير حسابات 217,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 217
هدف استراتيجي 218,مدير حسابات 218,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 218
هدف استراتيجي 219,مدير حسابات 219,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 219
هدف استراتيجي 220,مدير حسابات 220,healthcare,متابعة مريض/عميل بلا owner,inbound,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 220
هدف استراتيجي 221,مدير حسابات 221,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 221
هدف استراتيجي 222,مدير حسابات 222,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 222
هدف استراتيجي 223,مدير حسابات 223,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 223
هدف استراتيجي 224,مدير حسابات 224,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 224
هدف استراتيجي 225,مدير حسابات 225,ecommerce,سلة متروكة بلا قرار إيراد,phone_task,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 225
هدف استراتيجي 226,مدير حسابات 226,government_vendor,مناقصات بلا owner متابعة,partner_intro,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 226
هدف استراتيجي 227,مدير حسابات 227,insurance,وثائق leads بلا إغلاق,email_warm,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 227
هدف استراتيجي 228,مدير حسابات 228,telecom_b2b,حسابات enterprise بلا proof,linkedin_manual,D,executive_diagnostic,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 228
هدف استراتيجي 229,مدير حسابات 229,construction,عروض مشاريع بلا متابعة,phone_task,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 229
هدف استراتيجي 230,مدير حسابات 230,automotive_dealer,استفسارات showrooms,inbound,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 230
هدف استراتيجي 231,مدير حسابات 231,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 231
هدف استراتيجي 232,مدير حسابات 232,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 232
هدف استراتيجي 233,مدير حسابات 233,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 233
هدف استراتيجي 234,مدير حسابات 234,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 234
هدف استراتيجي 235,مدير حسابات 235,crm_partner,تنفيذ CRM قبل التشخيص,phone_task,C,diagnostic_layer,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 235
هدف استراتيجي 236,مدير حسابات 236,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 236
هدف استراتيجي 237,مدير حسابات 237,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 237
هدف استراتيجي 238,مدير حسابات 238,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 238
هدف استراتيجي 239,مدير حسابات 239,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 239
هدف استراتيجي 240,مدير حسابات 240,marketing_agency,ضغط inbound,inbound,A,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 240
هدف استراتيجي 241,مدير حسابات 241,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 241
هدف استراتيجي 242,مدير حسابات 242,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 242
هدف استراتيجي 243,مدير حسابات 243,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 243
هدف استراتيجي 244,مدير حسابات 244,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 244
هدف استراتيجي 245,مدير حسابات 245,education,تسجيل inbound بلا متابعة,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 245
هدف استراتيجي 246,مدير حسابات 246,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 246
هدف استراتيجي 247,مدير حسابات 247,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 247
هدف استراتيجي 248,مدير حسابات 248,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 248
هدف استراتيجي 249,مدير حسابات 249,government_vendor,مناقصات بلا owner متابعة,partner_intro,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 249
هدف استراتيجي 250,مدير حسابات 250,insurance,وثائق leads بلا إغلاق,inbound,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 250
